Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.370000,2025-11-01 19:24:39.638
0.0,0,2,0.369000,2025-11-01 19:24:40.091
0.0,0,3,0.372000,2025-11-01 19:24:40.547
0.0,0,4,0.375000,2025-11-01 19:24:41.001
0.0,0,5,0.359000,2025-11-01 19:24:41.454
1.5,76,1,1.566000,2025-11-01 19:24:43.167
1.5,76,2,1.580000,2025-11-01 19:24:43.621
1.5,76,3,0.881000,2025-11-01 19:24:44.075
1.5,76,4,1.323000,2025-11-01 19:24:44.529
1.5,76,5,1.365000,2025-11-01 19:24:44.984
2.0,102,1,1.811000,2025-11-01 19:24:46.696
2.0,102,2,1.580000,2025-11-01 19:24:47.151
2.0,102,3,1.768000,2025-11-01 19:24:47.605
2.0,102,4,2.417000,2025-11-01 19:24:48.060
2.0,102,5,2.241000,2025-11-01 19:24:48.517
2.5,127,1,2.002000,2025-11-01 19:24:50.230
2.5,127,2,2.099000,2025-11-01 19:24:50.684
2.5,127,3,1.640000,2025-11-01 19:24:51.139
2.5,127,4,3.244000,2025-11-01 19:24:51.593
2.5,127,5,3.073000,2025-11-01 19:24:52.049
3.0,153,1,3.649000,2025-11-01 19:24:53.761
3.0,153,2,2.393000,2025-11-01 19:24:54.218
3.0,153,3,1.896000,2025-11-01 19:24:54.673
3.0,153,4,2.084000,2025-11-01 19:24:55.127
3.0,153,5,3.622000,2025-11-01 19:24:55.581
