Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.276000,2025-11-01 18:56:01.859
0.0,0,2,0.276000,2025-11-01 18:56:02.313
0.0,0,3,0.268000,2025-11-01 18:56:02.766
0.0,0,4,0.271000,2025-11-01 18:56:03.222
0.0,0,5,0.279000,2025-11-01 18:56:03.678
1.5,76,1,0.913000,2025-11-01 18:56:05.392
1.5,76,2,1.526000,2025-11-01 18:56:05.847
1.5,76,3,1.188000,2025-11-01 18:56:06.299
1.5,76,4,1.578000,2025-11-01 18:56:06.754
1.5,76,5,1.662000,2025-11-01 18:56:07.207
2.0,102,1,2.559000,2025-11-01 18:56:08.920
2.0,102,2,1.619000,2025-11-01 18:56:09.374
2.0,102,3,2.446000,2025-11-01 18:56:09.828
2.0,102,4,2.657000,2025-11-01 18:56:10.284
2.0,102,5,2.517000,2025-11-01 18:56:10.741
2.5,127,1,3.325000,2025-11-01 18:56:12.456
2.5,127,2,3.284000,2025-11-01 18:56:12.911
2.5,127,3,3.151000,2025-11-01 18:56:13.364
2.5,127,4,1.117000,2025-11-01 18:56:13.819
2.5,127,5,2.410000,2025-11-01 18:56:14.273
3.0,153,1,2.660000,2025-11-01 18:56:15.986
3.0,153,2,3.624000,2025-11-01 18:56:16.439
3.0,153,3,2.236000,2025-11-01 18:56:16.893
3.0,153,4,2.241000,2025-11-01 18:56:17.347
3.0,153,5,2.984000,2025-11-01 18:56:17.801
