Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.258000,2025-11-01 18:49:15.698
0.0,0,2,0.258000,2025-11-01 18:49:16.153
0.0,0,3,0.256000,2025-11-01 18:49:16.608
0.0,0,4,0.262000,2025-11-01 18:49:17.063
0.0,0,5,0.255000,2025-11-01 18:49:17.517
1.5,76,1,1.339000,2025-11-01 18:49:19.230
1.5,76,2,1.678000,2025-11-01 18:49:19.686
1.5,76,3,0.714000,2025-11-01 18:49:20.139
1.5,76,4,0.790000,2025-11-01 18:49:20.593
1.5,76,5,1.267000,2025-11-01 18:49:21.049
2.0,102,1,1.487000,2025-11-01 18:49:22.762
2.0,102,2,1.504000,2025-11-01 18:49:23.217
2.0,102,3,1.103000,2025-11-01 18:49:23.671
2.0,102,4,2.266000,2025-11-01 18:49:24.125
2.0,102,5,1.857000,2025-11-01 18:49:24.583
2.5,127,1,2.164000,2025-11-01 18:49:26.297
2.5,127,2,2.961000,2025-11-01 18:49:26.751
2.5,127,3,2.092000,2025-11-01 18:49:27.205
2.5,127,4,2.335000,2025-11-01 18:49:27.659
2.5,127,5,3.082000,2025-11-01 18:49:28.113
3.0,153,1,2.392000,2025-11-01 18:49:29.826
3.0,153,2,2.749000,2025-11-01 18:49:30.279
3.0,153,3,3.050000,2025-11-01 18:49:30.739
3.0,153,4,1.898000,2025-11-01 18:49:31.193
3.0,153,5,2.239000,2025-11-01 18:49:31.647
