Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.418000,2025-11-01 19:28:09.673
0.0,0,2,0.423000,2025-11-01 19:28:10.127
0.0,0,3,0.432000,2025-11-01 19:28:10.581
0.0,0,4,0.422000,2025-11-01 19:28:11.036
0.0,0,5,0.424000,2025-11-01 19:28:11.491
1.5,76,1,1.439000,2025-11-01 19:28:13.200
1.5,76,2,1.525000,2025-11-01 19:28:13.653
1.5,76,3,1.477000,2025-11-01 19:28:14.109
1.5,76,4,1.384000,2025-11-01 19:28:14.562
1.5,76,5,0.793000,2025-11-01 19:28:15.017
2.0,102,1,2.329000,2025-11-01 19:28:16.733
2.0,102,2,2.292000,2025-11-01 19:28:17.188
2.0,102,3,2.351000,2025-11-01 19:28:17.642
2.0,102,4,2.365000,2025-11-01 19:28:18.097
2.0,102,5,2.022000,2025-11-01 19:28:18.559
2.5,127,1,2.241000,2025-11-01 19:28:20.272
2.5,127,2,2.236000,2025-11-01 19:28:20.727
2.5,127,3,3.113000,2025-11-01 19:28:21.182
2.5,127,4,1.278000,2025-11-01 19:28:21.635
2.5,127,5,3.160000,2025-11-01 19:28:22.090
3.0,153,1,2.332000,2025-11-01 19:28:23.805
3.0,153,2,3.659000,2025-11-01 19:28:24.258
3.0,153,3,2.220000,2025-11-01 19:28:24.712
3.0,153,4,2.257000,2025-11-01 19:28:25.167
3.0,153,5,3.652000,2025-11-01 19:28:25.621
