Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.274000,2025-11-01 18:49:57.199
0.0,0,2,0.271000,2025-11-01 18:49:57.652
0.0,0,3,0.276000,2025-11-01 18:49:58.107
0.0,0,4,0.275000,2025-11-01 18:49:58.560
0.0,0,5,0.272000,2025-11-01 18:49:59.015
1.5,76,1,1.625000,2025-11-01 18:50:00.729
1.5,76,2,1.649000,2025-11-01 18:50:01.183
1.5,76,3,0.918000,2025-11-01 18:50:01.643
1.5,76,4,1.307000,2025-11-01 18:50:02.097
1.5,76,5,1.395000,2025-11-01 18:50:02.552
2.0,102,1,2.123000,2025-11-01 18:50:04.264
2.0,102,2,2.137000,2025-11-01 18:50:04.718
2.0,102,3,1.768000,2025-11-01 18:50:05.173
2.0,102,4,2.696000,2025-11-01 18:50:05.627
2.0,102,5,2.593000,2025-11-01 18:50:06.085
2.5,127,1,3.449000,2025-11-01 18:50:07.799
2.5,127,2,1.125000,2025-11-01 18:50:08.253
2.5,127,3,2.292000,2025-11-01 18:50:08.708
2.5,127,4,3.255000,2025-11-01 18:50:09.162
2.5,127,5,2.121000,2025-11-01 18:50:09.617
3.0,153,1,3.063000,2025-11-01 18:50:11.329
3.0,153,2,2.024000,2025-11-01 18:50:11.788
3.0,153,3,2.024000,2025-11-01 18:50:12.242
3.0,153,4,1.729000,2025-11-01 18:50:12.695
3.0,153,5,1.602000,2025-11-01 18:50:13.150
