Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.139000,2025-10-27 15:05:30.388
0.0,0,2,0.144000,2025-10-27 15:05:30.841
0.0,0,3,0.146000,2025-10-27 15:05:31.294
0.0,0,4,0.143000,2025-10-27 15:05:31.746
0.0,0,5,0.142000,2025-10-27 15:05:32.199
1.5,76,1,0.866000,2025-10-27 15:05:33.911
1.5,76,2,0.861000,2025-10-27 15:05:34.363
1.5,76,3,0.805000,2025-10-27 15:05:34.817
1.5,76,4,1.154000,2025-10-27 15:05:35.270
1.5,76,5,1.398000,2025-10-27 15:05:35.724
2.0,102,1,1.691000,2025-10-27 15:05:37.433
2.0,102,2,1.486000,2025-10-27 15:05:37.886
2.0,102,3,1.457000,2025-10-27 15:05:38.339
2.0,102,4,1.812000,2025-10-27 15:05:38.792
2.0,102,5,1.821000,2025-10-27 15:05:39.245
2.5,127,1,2.119000,2025-10-27 15:05:40.956
2.5,127,2,2.657000,2025-10-27 15:05:41.408
2.5,127,3,2.498000,2025-10-27 15:05:41.861
2.5,127,4,2.208000,2025-10-27 15:05:42.313
2.5,127,5,2.102000,2025-10-27 15:05:42.765
3.0,153,1,2.409000,2025-10-27 15:05:44.476
3.0,153,2,3.623000,2025-10-27 15:05:44.931
3.0,153,3,2.659000,2025-10-27 15:05:45.384
3.0,153,4,2.591000,2025-10-27 15:05:45.837
3.0,153,5,1.589000,2025-10-27 15:05:46.291
