Voltage (V),PWM,Sample,Vibration (g),Timestamp
0.0,0,1,0.273000,2025-11-01 18:55:19.250
0.0,0,2,0.265000,2025-11-01 18:55:19.704
0.0,0,3,0.267000,2025-11-01 18:55:20.160
0.0,0,4,0.273000,2025-11-01 18:55:20.614
0.0,0,5,0.273000,2025-11-01 18:55:21.069
1.5,76,1,1.060000,2025-11-01 18:55:22.784
1.5,76,2,1.234000,2025-11-01 18:55:23.238
1.5,76,3,0.739000,2025-11-01 18:55:23.691
1.5,76,4,0.722000,2025-11-01 18:55:24.146
1.5,76,5,0.948000,2025-11-01 18:55:24.600
2.0,102,1,1.318000,2025-11-01 18:55:26.313
2.0,102,2,2.294000,2025-11-01 18:55:26.767
2.0,102,3,1.398000,2025-11-01 18:55:27.222
2.0,102,4,2.386000,2025-11-01 18:55:27.677
2.0,102,5,2.372000,2025-11-01 18:55:28.133
2.5,127,1,1.970000,2025-11-01 18:55:29.844
2.5,127,2,3.459000,2025-11-01 18:55:30.300
2.5,127,3,3.241000,2025-11-01 18:55:30.755
2.5,127,4,2.284000,2025-11-01 18:55:31.210
2.5,127,5,2.251000,2025-11-01 18:55:31.663
3.0,153,1,2.180000,2025-11-01 18:55:33.378
3.0,153,2,2.532000,2025-11-01 18:55:33.832
3.0,153,3,3.557000,2025-11-01 18:55:34.288
3.0,153,4,1.483000,2025-11-01 18:55:34.743
3.0,153,5,2.192000,2025-11-01 18:55:35.197
